player_name,player_steamid,event_name,tick,match_id
AVARA KÉRABA,76561198397576589,bomb_pickup,3979,c3ddd683
MonsTro,76561198340888446,bomb_pickup,4211,c3ddd683
Siraissi,76561198178993731,bomb_pickup,4563,c3ddd683
Cujura,76561198051880621,bomb_pickup,12243,c3ddd683
AVARA KÉRABA,76561198397576589,bomb_pickup,15891,c3ddd683
AVARA KÉRABA,76561198397576589,bomb_pickup,16051,c3ddd683
Cujura,76561198051880621,bomb_pickup,17079,c3ddd683
Siraissi,76561198178993731,bomb_pickup,18201,c3ddd683
MonsTro,76561198340888446,bomb_pickup,20251,c3ddd683
Siraissi,76561198178993731,bomb_pickup,22789,c3ddd683
AVARA KÉRABA,76561198397576589,bomb_pickup,23360,c3ddd683
MonsTro,76561198340888446,bomb_pickup,24580,c3ddd683
Siraissi,76561198178993731,bomb_pickup,27298,c3ddd683
MonsTro,76561198340888446,bomb_pickup,28337,c3ddd683
Connan,76561198026214582,bomb_pickup,28697,c3ddd683
Connan,76561198026214582,bomb_pickup,36194,c3ddd683
AVARA KÉRABA,76561198397576589,bomb_pickup,45722,c3ddd683
Cujura,76561198051880621,bomb_pickup,46012,c3ddd683
MonsTro,76561198340888446,bomb_pickup,46704,c3ddd683
Cujura,76561198051880621,bomb_pickup,47256,c3ddd683
AVARA KÉRABA,76561198397576589,bomb_pickup,47478,c3ddd683
Connan,76561198026214582,bomb_pickup,48356,c3ddd683
AVARA KÉRABA,76561198397576589,bomb_pickup,49624,c3ddd683
Connan,76561198026214582,bomb_pickup,51272,c3ddd683
Cujura,76561198051880621,bomb_pickup,53976,c3ddd683
AVARA KÉRABA,76561198397576589,bomb_pickup,58611,c3ddd683
Siraissi,76561198178993731,bomb_pickup,59691,c3ddd683
MonsTro,76561198340888446,bomb_pickup,61386,c3ddd683
Cujura,76561198051880621,bomb_pickup,62150,c3ddd683
Connan,76561198026214582,bomb_pickup,63470,c3ddd683
MonsTro,76561198340888446,bomb_pickup,70081,c3ddd683
Connan,76561198026214582,bomb_pickup,70321,c3ddd683
Connan,76561198026214582,bomb_pickup,75533,c3ddd683
AVARA KÉRABA,76561198397576589,bomb_pickup,82510,c3ddd683
Cujura,76561198051880621,bomb_pickup,83800,c3ddd683
MonsTro,76561198340888446,bomb_pickup,87258,c3ddd683
MonsTro,76561198340888446,bomb_pickup,89316,c3ddd683
AVARA KÉRABA,76561198397576589,bomb_pickup,90812,c3ddd683
Cujura,76561198051880621,bomb_pickup,91592,c3ddd683
Cujura,76561198051880621,bomb_pickup,93445,c3ddd683
AVARA KÉRABA,76561198397576589,bomb_pickup,95957,c3ddd683
Connan,76561198026214582,bomb_pickup,99111,c3ddd683
Siraissi,76561198178993731,bomb_pickup,100686,c3ddd683
Siraissi,76561198178993731,bomb_pickup,102032,c3ddd683
MonsTro,76561198340888446,bomb_pickup,102450,c3ddd683
Cujura,76561198051880621,bomb_pickup,104422,c3ddd683
MonsTro,76561198340888446,bomb_pickup,107358,c3ddd683
Siraissi,76561198178993731,bomb_pickup,107621,c3ddd683
Connan,76561198026214582,bomb_pickup,112129,c3ddd683
Talevor,76561198124241179,bomb_pickup,119129,c3ddd683
Talevor,76561198124241179,bomb_pickup,120475,c3ddd683
【﻿ＰＫ】,76561197996437459,bomb_pickup,125013,c3ddd683
Luiz,76561198100001022,bomb_pickup,130967,c3ddd683
rodrigaoobrabo,76561198421514418,bomb_pickup,135091,c3ddd683
Talevor,76561198124241179,bomb_pickup,137047,c3ddd683
Erick,76561198000238678,bomb_pickup,138355,c3ddd683
Talevor,76561198124241179,bomb_pickup,139309,c3ddd683
Talevor,76561198124241179,bomb_pickup,141697,c3ddd683
rodrigaoobrabo,76561198421514418,bomb_pickup,142969,c3ddd683
【﻿ＰＫ】,76561197996437459,bomb_pickup,143196,c3ddd683
Erick,76561198000238678,bomb_pickup,143820,c3ddd683
rodrigaoobrabo,76561198421514418,bomb_pickup,144074,c3ddd683
Talevor,76561198124241179,bomb_pickup,144216,c3ddd683
【﻿ＰＫ】,76561197996437459,bomb_pickup,144370,c3ddd683
【﻿ＰＫ】,76561197996437459,bomb_pickup,145008,c3ddd683
Luiz,76561198100001022,bomb_pickup,145700,c3ddd683
Talevor,76561198124241179,bomb_pickup,148364,c3ddd683
Talevor,76561198124241179,bomb_pickup,149592,c3ddd683
Talevor,76561198124241179,bomb_pickup,150955,c3ddd683
【﻿ＰＫ】,76561197996437459,bomb_pickup,151281,c3ddd683
Talevor,76561198124241179,bomb_pickup,153463,c3ddd683
【﻿ＰＫ】,76561197996437459,bomb_pickup,158501,c3ddd683
Luiz,76561198100001022,bomb_pickup,165373,c3ddd683
Erick,76561198000238678,bomb_pickup,171835,c3ddd683
rodrigaoobrabo,76561198421514418,bomb_pickup,173063,c3ddd683
【﻿ＰＫ】,76561197996437459,bomb_pickup,173175,c3ddd683
Talevor,76561198124241179,bomb_pickup,177955,c3ddd683
rodrigaoobrabo,76561198421514418,bomb_pickup,179211,c3ddd683
Talevor,76561198124241179,bomb_pickup,185218,c3ddd683
【﻿ＰＫ】,76561197996437459,bomb_pickup,186561,c3ddd683
