round,tick,legacy,reason,nomusic,winner,player_count,message,event_name
0,11795,0,1,0,2,10,#SFUI_Notice_Target_Bombed,round_end
0,22341,0,9,0,2,10,#SFUI_Notice_Terrorists_Win,round_end
0,27882,0,9,0,2,10,#SFUI_Notice_Terrorists_Win,round_end
0,35741,0,9,0,2,10,#SFUI_Notice_Terrorists_Win,round_end
0,45274,0,7,0,3,10,#SFUI_Notice_Bomb_Defused,round_end
0,53528,0,8,0,3,10,#SFUI_Notice_CTs_Win,round_end
0,59243,0,8,0,3,10,#SFUI_Notice_CTs_Win,round_end
0,69624,0,9,0,2,10,#SFUI_Notice_Terrorists_Win,round_end
0,75079,0,9,0,2,10,#SFUI_Notice_Terrorists_Win,round_end
0,82055,0,9,0,2,10,#SFUI_Notice_Terrorists_Win,round_end
0,91144,0,12,1,3,10,#SFUI_Notice_Target_Saved,round_end
0,100233,0,12,1,3,10,#SFUI_Notice_Target_Saved,round_end
0,106910,0,8,0,3,10,#SFUI_Notice_CTs_Win,round_end
0,111677,0,8,0,3,10,#SFUI_Notice_CTs_Win,round_end
0,118169,0,9,0,2,10,#SFUI_Notice_Terrorists_Win,round_end
0,124559,0,8,0,3,10,#SFUI_Notice_CTs_Win,round_end
0,130515,0,7,0,3,10,#SFUI_Notice_Bomb_Defused,round_end
0,137903,0,9,0,2,10,#SFUI_Notice_Terrorists_Win,round_end
0,142521,0,9,0,2,10,#SFUI_Notice_Terrorists_Win,round_end
0,149142,0,8,0,3,10,#SFUI_Notice_CTs_Win,round_end
0,158047,0,8,0,3,10,#SFUI_Notice_CTs_Win,round_end
0,164919,0,8,0,3,10,#SFUI_Notice_CTs_Win,round_end
0,171383,0,7,0,3,10,#SFUI_Notice_Bomb_Defused,round_end
0,178761,0,8,0,3,10,#SFUI_Notice_CTs_Win,round_end
0,184770,0,1,1,2,10,#SFUI_Notice_Target_Bombed,round_end
0,187989,0,8,0,3,10,#SFUI_Notice_CTs_Win,round_end
